# OpenSignals Text File Format. Version 1
# {"98:D3:41:FD:4F:0D": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:41:FD:4F:0D", "device connection": "BTH98:D3:41:FD:4F:0D", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-9-18", "time": "12:54:11.664", "channels": [2], "sensor": ["ECGBIT"], "label": ["A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	525	
1	0	0	0	0	524	
2	0	0	0	0	523	
3	0	0	0	0	523	
4	0	0	0	0	523	
5	0	0	0	0	522	
6	0	0	0	0	521	
7	0	0	0	0	521	
8	0	0	0	0	520	
9	0	0	0	0	519	
10	0	0	0	0	519	
11	0	0	0	0	517	
12	0	0	0	0	516	
13	0	0	0	0	515	
14	0	0	0	0	513	
15	0	0	0	0	513	
0	0	0	0	0	512	
1	0	0	0	0	511	
2	0	0	0	0	510	
3	0	0	0	0	508	
4	0	0	0	0	509	
5	0	0	0	0	508	
6	0	0	0	0	507	
7	0	0	0	0	505	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	503	
11	0	0	0	0	502	
12	0	0	0	0	500	
13	0	0	0	0	498	
14	0	0	0	0	497	
15	0	0	0	0	496	
0	0	0	0	0	497	
1	0	0	0	0	497	
2	0	0	0	0	496	
3	0	0	0	0	496	
4	0	0	0	0	498	
5	0	0	0	0	497	
6	0	0	0	0	497	
7	0	0	0	0	497	
8	0	0	0	0	497	
9	0	0	0	0	496	
10	0	0	0	0	497	
11	0	0	0	0	498	
12	0	0	0	0	497	
13	0	0	0	0	497	
14	0	0	0	0	497	
15	0	0	0	0	497	
0	0	0	0	0	497	
1	0	0	0	0	497	
2	0	0	0	0	499	
3	0	0	0	0	498	
4	0	0	0	0	498	
5	0	0	0	0	499	
6	0	0	0	0	500	
7	0	0	0	0	500	
8	0	0	0	0	500	
9	0	0	0	0	501	
10	0	0	0	0	501	
11	0	0	0	0	501	
12	0	0	0	0	501	
13	0	0	0	0	500	
14	0	0	0	0	500	
15	0	0	0	0	501	
0	0	0	0	0	500	
1	0	0	0	0	501	
2	0	0	0	0	500	
3	0	0	0	0	501	
4	0	0	0	0	501	
5	0	0	0	0	500	
6	0	0	0	0	502	
7	0	0	0	0	502	
8	0	0	0	0	503	
9	0	0	0	0	503	
10	0	0	0	0	503	
11	0	0	0	0	504	
12	0	0	0	0	503	
13	0	0	0	0	503	
14	0	0	0	0	502	
15	0	0	0	0	502	
0	0	0	0	0	502	
1	0	0	0	0	502	
2	0	0	0	0	502	
3	0	0	0	0	502	
4	0	0	0	0	502	
5	0	0	0	0	503	
6	0	0	0	0	502	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	503	
10	0	0	0	0	505	
